run,dataset,threshold,time
1,accidents,0.8,15.30696
1,accidents,0.9,5.284853
1,accidents,0.85,8.843144
1,chess,0.7,86.930492
1,chess,0.8,6.951153
1,chess,0.9,0.329621
1,connect,0.95,43.6718
1,connect,0.97,8.976134
1,connect,0.98,3.521526
1,mushroom,0.3,3.353424
1,mushroom,0.5,0.207111
1,mushroom,0.8,0.055635
1,pumsb,0.9,65.385646
1,pumsb,0.95,4.313242
1,pumsb,0.97,1.497286
1,retail,0.1,0.36251
1,retail,0.02,1.377049
1,retail,0.05,0.440924
2,accidents,0.8,15.860371
2,accidents,0.9,5.456747
2,accidents,0.85,8.940008
2,chess,0.7,89.066653
2,chess,0.8,7.07464
2,chess,0.9,0.334341
2,connect,0.95,45.440638
2,connect,0.97,9.530467
2,connect,0.98,3.636311
2,mushroom,0.3,3.553518
2,mushroom,0.5,0.234123
2,mushroom,0.8,0.059669
2,pumsb,0.9,64.001334
2,pumsb,0.95,4.133047
2,pumsb,0.97,1.483798
2,retail,0.1,0.368323
2,retail,0.02,1.347632
2,retail,0.05,0.429413
3,accidents,0.8,15.657169
3,accidents,0.9,5.387061
3,accidents,0.85,8.588228
3,chess,0.7,88.95562
3,chess,0.8,7.071619
3,chess,0.9,0.335214
3,connect,0.95,45.534978
3,connect,0.97,9.469383
3,connect,0.98,3.716598
3,mushroom,0.3,3.864143
3,mushroom,0.5,0.206481
3,mushroom,0.8,0.054924
3,pumsb,0.9,65.194269
3,pumsb,0.95,4.230261
3,pumsb,0.97,1.519986
3,retail,0.1,0.383919
3,retail,0.02,1.311522
3,retail,0.05,0.398352
4,accidents,0.8,16.008387
4,accidents,0.9,5.512447
4,accidents,0.85,8.775618
4,chess,0.7,91.152411
4,chess,0.8,7.158219
4,chess,0.9,0.342945
4,connect,0.95,45.63296
4,connect,0.97,9.536149
4,connect,0.98,3.577972
4,mushroom,0.3,3.507241
4,mushroom,0.5,0.212605
4,mushroom,0.8,0.056523
4,pumsb,0.9,65.170321
4,pumsb,0.95,4.294758
4,pumsb,0.97,1.527233
4,retail,0.1,0.34931
4,retail,0.02,1.34419
4,retail,0.05,0.420041
5,accidents,0.8,16.128219
5,accidents,0.9,5.544072
5,accidents,0.85,8.711323
5,chess,0.7,92.750352
5,chess,0.8,7.31127
5,chess,0.9,0.350206
5,connect,0.95,45.676886
5,connect,0.97,9.284856
5,connect,0.98,3.580821
5,mushroom,0.3,3.508786
5,mushroom,0.5,0.214017
5,mushroom,0.8,0.058004
5,pumsb,0.9,65.443933
5,pumsb,0.95,4.201719
5,pumsb,0.97,1.472553
5,retail,0.1,0.353886
5,retail,0.02,1.318904
5,retail,0.05,0.417729
